survived,pclass,sex,age,age_categories,sibsp,parch,fare,fare_categories,embarked
0,lower,male,22.0,youth,1,0,7.25,very low,S
1,upper,female,38.0,adult,1,0,71.2833,high,C
1,lower,female,26.0,adult,0,0,7.925,low,S
1,upper,female,35.0,adult,1,0,53.1,high,S
0,lower,male,35.0,adult,0,0,8.05,low,S
0,lower,male,29.69911764705882,adult,0,0,8.4583,low,Q
0,upper,male,54.0,adult,0,0,51.8625,high,S
0,lower,male,2.0,infant,3,1,21.075,medium,S
1,lower,female,27.0,adult,0,2,11.1333,low,S
1,middle,female,14.0,child,1,0,30.0708,medium,C
1,lower,female,4.0,child,1,1,16.7,medium,S
1,upper,female,58.0,adult,0,0,26.55,medium,S
0,lower,male,20.0,youth,0,0,8.05,low,S
0,lower,male,39.0,adult,1,5,31.275,high,S
0,lower,female,14.0,child,0,0,7.8542,very low,S
1,middle,female,55.0,adult,0,0,16.0,medium,S
0,lower,male,2.0,infant,4,1,29.125,medium,Q
1,middle,male,29.69911764705882,adult,0,0,13.0,low,S
0,lower,female,31.0,adult,1,0,18.0,medium,S
1,lower,female,29.69911764705882,adult,0,0,7.225,very low,C
0,middle,male,35.0,adult,0,0,26.0,medium,S
1,middle,male,34.0,adult,0,0,13.0,low,S
1,lower,female,15.0,youth,0,0,8.0292,low,Q
1,upper,male,28.0,adult,0,0,35.5,high,S
0,lower,female,8.0,child,3,1,21.075,medium,S
1,lower,female,38.0,adult,1,5,31.3875,high,S
0,lower,male,29.69911764705882,adult,0,0,7.225,very low,C
0,upper,male,19.0,youth,3,2,263.0,high,S
1,lower,female,29.69911764705882,adult,0,0,7.8792,very low,Q
0,lower,male,29.69911764705882,adult,0,0,7.8958,very low,S
0,upper,male,40.0,adult,0,0,27.7208,medium,C
1,upper,female,29.69911764705882,adult,1,0,146.5208,high,C
1,lower,female,29.69911764705882,adult,0,0,7.75,very low,Q
0,middle,male,66.0,senior,0,0,10.5,low,S
0,upper,male,28.0,adult,1,0,82.1708,high,C
0,upper,male,42.0,adult,1,0,52.0,high,S
1,lower,male,29.69911764705882,adult,0,0,7.2292,very low,C
0,lower,male,21.0,youth,0,0,8.05,low,S
0,lower,female,18.0,youth,2,0,18.0,medium,S
1,lower,female,14.0,child,1,0,11.2417,low,C
0,lower,female,40.0,adult,1,0,9.475,low,S
0,middle,female,27.0,adult,1,0,21.0,medium,S
0,lower,male,29.69911764705882,adult,0,0,7.8958,very low,C
1,middle,female,3.0,child,1,2,41.5792,high,C
1,lower,female,19.0,youth,0,0,7.8792,very low,Q
0,lower,male,29.69911764705882,adult,0,0,8.05,low,S
0,lower,male,29.69911764705882,adult,1,0,15.5,medium,Q
1,lower,female,29.69911764705882,adult,0,0,7.75,very low,Q
0,lower,male,29.69911764705882,adult,2,0,21.6792,medium,C
0,lower,female,18.0,youth,1,0,17.8,medium,S
0,lower,male,7.0,child,4,1,39.6875,high,S
0,lower,male,21.0,youth,0,0,7.8,very low,S
1,upper,female,49.0,adult,1,0,76.7292,high,C
1,middle,female,29.0,adult,1,0,26.0,medium,S
